ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt
1782709019756,0,0,0,0,0,0,0,0,0,0
1782709020007,250,0,0,0,0,0,0,0,0,0
1782709020259,502,0,0,0,0,0,0,0,0,0
1782709020513,756,0,0,0,0,0,0,0,0,0
1782709020763,1006,0,0,0,0,0,0,0,0,0
1782709021028,1271,0,0,0,0,0,0,0,0,0
1782709021312,1555,0,0,0,0,0,0,0,0,0
1782709021562,1805,0,0,0,0,0,0,0,0,0
1782709021813,2056,0,0,0,0,0,0,0,0,0
1782709022064,2307,0,0,0,0,0,0,0,0,0
1782709022319,2562,0,0,0,0,0,0,0,0,0
1782709022571,2814,0,0,0,0,0,0,0,0,0
1782709022823,3066,0,0,0,0,0,0,0,0,0
1782709023074,3317,0,0,0,0,0,0,0,0,0
1782709023362,3605,0,0,0,0,0,0,0,0,0
1782709023644,3888,0,0,0,0,0,0,0,0,0
1782709023905,4148,0,0,0,0,0,0,0,0,0
1782709024156,4399,0,0,0,0,0,0,0,0,0
1782709024408,4651,336217,254,0,0,24492,19994818,254,38249,254
1782709024659,4903,336217,254,0,0,24492,19994818,254,38249,254
1782709024910,5153,539663,514,0,0,46853,33246176,514,53935,514
1782709025161,5404,539663,514,0,0,46853,33246176,514,53935,514
1782709025412,5655,1175853,766,0,0,67158,45128458,766,68495,766
1782709025663,5907,1314030,1018,0,0,85695,55491806,1018,83329,1018
1782709025915,6158,1375295,1104,0,0,92793,61085635,1104,88894,1104
1782709026166,6409,1375295,1104,0,0,92793,61085635,1104,88894,1104
1782709026416,6659,1638121,1355,0,0,113416,70838207,1355,244381,1355
1782709026667,6911,1777037,1607,0,0,135257,81328357,1607,258833,1607
1782709027224,7467,1854008,1702,0,0,1842381,87421420,1702,265834,1702
1782709027595,7838,1854008,1702,0,0,1842381,87421420,1702,265834,1702
1782709027849,8092,2098449,2002,0,0,1869655,100703637,2002,284024,2002
1782709028151,8394,2098449,2002,0,0,1869655,100703637,2002,284024,2002
1782709028402,8645,2453339,2254,0,0,1892513,117071880,2254,299151,2254
1782709028654,8898,2633334,2506,0,0,1914462,128947413,2506,314179,2506
1782709028905,9148,2692563,2592,0,0,1922831,134293488,2592,320014,2592
1782709029155,9398,2692563,2592,0,0,1922831,134293488,2592,320014,2592
1782709029406,9649,3208437,2843,0,0,1945951,149553407,2843,340861,2843
