ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns
1782718734804,0,0,0,0,0,0,0,0,0,0,0,0
1782718735092,288,0,0,0,0,0,0,0,0,0,0,0
1782718735379,575,0,0,0,0,0,0,0,0,0,0,0
1782718735631,828,0,0,0,0,0,0,0,0,0,0,0
1782718735882,1078,0,0,0,0,0,0,0,0,0,0,0
1782718736141,1337,0,0,0,0,0,0,0,0,0,0,0
1782718736392,1588,0,0,0,0,0,0,0,0,0,0,0
1782718736646,1843,0,0,0,0,0,0,0,0,0,0,0
1782718736945,2141,0,0,0,0,0,0,0,0,0,0,0
1782718737244,2440,0,0,0,0,0,0,0,0,0,0,0
1782718737496,2692,0,0,0,0,0,0,0,0,0,0,0
1782718737764,2961,0,0,0,0,0,0,0,0,0,0,0
1782718738189,3385,0,0,0,0,0,0,0,0,0,0,0
1782718738475,3670,0,0,0,0,0,0,0,0,0,0,0
1782718738767,3964,0,0,0,0,0,0,0,0,0,0,0
1782718739294,4490,0,0,0,0,0,0,0,0,0,0,0
1782718739545,4741,0,0,0,0,0,0,0,0,0,0,0
1782718739819,5015,216700,254,0,0,13955,7715222,254,9912,254,7205925,118778
1782718740071,5267,312278,408,0,0,25758,17166375,408,18623,408,16090647,269509
1782718740323,5519,437738,662,0,0,41535,25918055,662,29873,662,24334986,463551
1782718740575,5771,437738,662,0,0,41535,25918055,662,29873,662,24334986,463551
1782718740825,6021,641038,976,0,0,64486,37231037,976,46449,976,35010112,679320
1782718741077,6273,641038,976,0,0,64486,37231037,976,46449,976,35010112,679320
1782718741329,6525,1177384,1228,0,0,82958,48110832,1228,59968,1228,45361247,859298
1782718741579,6775,1177384,1228,0,0,82958,48110832,1228,59968,1228,45361247,859298
1782718741831,7027,1607143,1533,0,0,110053,67326170,1533,78766,1533,63642016,1266185
1782718742082,7278,1607143,1533,0,0,110053,67326170,1533,78766,1533,63642016,1266185
1782718742332,7528,1727349,1785,0,0,125489,76577987,1785,89950,1785,72094271,1710035
1782718742584,7780,1727349,1785,0,0,125489,76577987,1785,89950,1785,72094271,1710035
1782718742835,8031,1883866,2134,0,0,314916,89279071,2134,106536,2134,84035870,2059286
1782718743088,8284,1883866,2134,0,0,314916,89279071,2134,106536,2134,84035870,2059286
1782718743339,8535,1996317,2386,0,0,356025,98221356,2386,118207,2386,91782296,2466744
1782718743590,8786,1996317,2386,0,0,356025,98221356,2386,118207,2386,91782296,2466744
1782718743840,9036,2166364,2732,0,0,379492,111528860,2732,135581,2732,103485626,3123947
1782718744091,9287,2166364,2732,0,0,379492,111528860,2732,135581,2732,103485626,3123947
1782718744344,9539,2514323,2984,0,0,396124,121173122,2984,147127,2984,112238205,3714401
1782718744594,9790,2514323,2984,0,0,396124,121173122,2984,147127,2984,112238205,3714401
1782718744845,10041,2973442,3334,0,0,418228,134306132,3334,163686,3334,124018693,4639391
1782718745281,10477,2973442,3334,0,0,418228,134306132,3334,163686,3334,124018693,4639391
1782718745541,10737,3078383,3586,0,0,432605,142590961,3586,174006,3586,131666067,4960856
1782718745803,11000,3078383,3586,0,0,432605,142590961,3586,174006,3586,131666067,4960856
1782718746101,11297,3208099,3780,0,0,452591,152620801,3780,184824,3780,140715710,5486823
1782718746355,11551,3350308,4031,0,0,469947,163087560,4031,197150,4031,150080738,5936618
1782718746618,11814,3350308,4031,0,0,469947,163087560,4031,197150,4031,150080738,5936618
1782718746877,12073,4650971,4352,0,0,2512163,189840886,4352,218211,4352,174910613,7297255
1782718747138,12334,4650971,4352,0,0,2512163,189840886,4352,218211,4352,174910613,7297255
1782718747389,12585,4954719,4600,0,0,3910053,211178345,4600,236690,4600,194558283,8449731
1782718747644,12841,4954719,4600,0,0,3910053,211178345,4600,236690,4600,194558283,8449731
1782718747902,13098,5183497,4868,0,0,5736327,226729984,4868,254081,4868,208166210,9129785
1782718748155,13351,5183497,4868,0,0,5736327,226729984,4868,254081,4868,208166210,9129785
1782718748406,13601,5482902,5118,0,0,5752762,240353029,5118,265609,5118,219289952,10412344
1782718748657,13854,5482902,5118,0,0,5752762,240353029,5118,265609,5118,219289952,10412344
1782718748920,14116,5628280,5392,0,0,5771558,251467908,5392,278954,5392,229094857,10921305
1782718749175,14371,5628280,5392,0,0,5771558,251467908,5392,278954,5392,229094857,10921305
1782718749426,14622,5754757,5644,0,0,5787232,259752749,5644,290472,5644,236589018,11381717
1782718749680,14877,5869157,5896,0,0,5802467,267737558,5896,301529,5896,243902325,11748833
1782718749933,15129,5913465,5960,0,0,5807855,271932640,5960,305433,5960,247330422,12412001
1782718750186,15382,5913465,5960,0,0,5807855,271932640,5960,305433,5960,247330422,12412001
1782718750436,15632,6011553,6210,0,0,5819261,277026501,6210,314189,6210,251904750,12699427
1782718750687,15884,6112259,6461,0,0,5833416,283221754,6461,325006,6461,257494038,13028342
1782718750938,16134,6155896,6544,0,0,5838968,285630065,6544,329480,6544,259679926,13145351
1782718751189,16385,6155896,6544,0,0,5838968,285630065,6544,329480,6544,259679926,13145351
1782718751440,16636,6250285,6794,0,0,5851739,292091675,6794,339076,6794,265562253,13477066
1782718751691,16888,7088398,7045,0,0,5863379,298194188,7045,348049,7045,271108402,13807094
1782718751942,17137,7135881,7144,0,0,5869595,301020335,7144,352829,7144,273666869,13951397
1782718752193,17389,7135881,7144,0,0,5869595,301020335,7144,352829,7144,273666869,13951397
1782718752444,17640,7239370,7394,0,0,5883476,308092414,7394,363323,7394,280190928,14230385
1782718752695,17892,7332567,7645,0,0,5895442,314247074,7645,372245,7645,285810324,14520134
1782718752947,18143,7389659,7744,0,0,5902792,317070144,7744,377364,7744,288362916,14635735
1782718753198,18394,7389659,7744,0,0,5902792,317070144,7744,377364,7744,288362916,14635735
1782718753457,18653,7495864,7994,0,0,5916864,322954888,7994,387659,7994,293697991,14928745
1782718753724,18921,7609891,8244,0,0,5932147,330896434,8244,399780,8244,300964039,15258644
1782718754038,19234,7662054,8314,0,0,8171643,340711346,8314,404607,8314,309941481,15364805
1782718754305,19501,7790732,8564,0,0,8187876,347615935,8564,415839,8564,316201581,15680980
1782718754556,19752,7790732,8564,0,0,8187876,347615935,8564,415839,8564,316201581,15680980
1782718754852,20048,7939213,8834,0,0,8206544,360558542,8834,429371,8834,328359007,16091154
1782718755106,20302,7939213,8834,0,0,8206544,360558542,8834,429371,8834,328359007,16091154
1782718755362,20558,8066440,9082,0,0,8219199,366143178,9082,439238,9082,333376088,16406894
1782718755642,20839,8066440,9082,0,0,8219199,366143178,9082,439238,9082,333376088,16406894
1782718755892,21088,8361682,9424,0,0,8240821,377957306,9424,455528,9424,344183543,16983110
1782718756144,21340,8361682,9424,0,0,8240821,377957306,9424,455528,9424,344183543,16983110
1782718756395,21590,8495629,9674,0,0,8253938,383652405,9674,465273,9674,349278525,17318932
1782718756789,21986,8495629,9674,0,0,8253938,383652405,9674,465273,9674,349278525,17318932
1782718757058,22254,8653106,9922,0,0,8272629,401317305,9922,479091,9922,364976647,18013928
1782718757528,22724,8748246,10172,0,0,8291563,407446470,10172,489011,10172,370434645,18437684
1782718757780,22976,8748246,10172,0,0,8291563,407446470,10172,489011,10172,370434645,18437684
1782718758035,23231,8880276,10430,0,0,8305570,417258693,10430,500749,10430,379336987,19063206
1782718758286,23482,9060052,10679,0,0,8320327,424488224,10679,513304,10679,385644922,19675480
1782718758537,23733,9060052,10679,0,0,8320327,424488224,10679,513304,10679,385644922,19675480
1782718758792,23989,9336734,10930,0,0,8345077,435156009,10930,530535,10930,395315389,20225493
1782718759047,24243,9373437,10967,0,0,8349206,437714540,10967,533681,10967,397661199,20355484
1782718759365,24561,9560514,11215,0,0,8371404,449088759,11215,550312,11215,407725941,21104744
1782718759633,24830,9560514,11215,0,0,8371404,449088759,11215,550312,11215,407725941,21104744
1782718759945,25141,10233170,11486,0,0,8423719,492308238,11486,579810,11486,443937298,22220684
1782718760200,25396,10460922,11736,0,0,8461781,524595841,11736,599637,11736,473552188,24260634
1782718760456,25652,10460922,11736,0,0,8461781,524595841,11736,599637,11736,473552188,24260634
1782718760708,25905,11925381,11984,0,0,8497217,543276719,11984,618228,11984,490926612,24956360
1782718760971,26167,12132667,12114,0,0,8514926,549751293,12114,627341,12114,496613184,25411296
1782718761223,26419,12132667,12114,0,0,8514926,549751293,12114,627341,12114,496613184,25411296
1782718761476,26672,12363051,12363,0,0,8551161,561562531,12363,644976,12363,507035263,26233792
1782718762533,27729,12909120,12924,0,0,8632269,597509777,12924,686020,12924,536643106,31262508
1782718762786,27983,15386544,13175,0,0,8688020,661970766,13175,716523,13175,594502459,35393279
1782718763039,28235,15588138,13294,0,0,8711613,683369054,13294,730106,13294,613216847,37684637
1782718763290,28486,16281081,13544,0,0,8752344,717716630,13544,751564,13544,644844303,38837798
1782718763541,28737,16281081,13544,0,0,8752344,717716630,13544,751564,13544,644844303,38837798
1782718763794,28991,16590972,13796,0,0,8799945,756105576,13795,776821,13795,679236991,40848138
1782718764046,29242,16700132,13897,0,0,12614035,768634631,13897,786758,13897,690677251,41208888
1782718764701,29898,16700132,13897,0,0,12614035,768634631,13897,786758,13897,690677251,41208888
1782718764979,30175,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718765277,30473,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718765580,30776,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718765980,31176,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718766277,31473,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718766608,31805,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718766884,32080,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718767258,32453,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718767515,32711,16815785,14032,0,0,23012978,784731065,14032,797048,14032,706002856,41671975
1782718767765,32962,18864862,14659,0,0,28378138,858993983,14658,849960,14658,770783569,48843903
1782718768017,33213,19800170,15382,0,0,28497119,933879490,15381,911749,15381,834168532,57708781
1782718768271,33467,21465317,16199,0,0,40916353,1025878414,16199,982047,16199,914283368,66261665
1782718768521,33717,22397585,16874,0,0,41560670,1122659196,16873,1038189,16873,1001783948,73353190
1782718768775,33972,24339752,17451,0,0,50866321,1184727163,17450,1090679,17450,1055910316,78812811
1782718769027,34223,25207595,18253,0,0,50980279,1237629169,18253,1148792,18253,1100654295,84206530
1782718769388,34584,25948682,18754,0,0,51054181,1272392069,18754,1186241,18754,1129823278,88442401
1782718769694,34891,28387053,19507,0,0,51180858,1361739587,19507,1250607,19507,1205000316,100513156
1782718769960,35156,29199519,20161,0,0,58765451,1406964797,20161,1302024,20161,1243681994,105223491
1782718770211,35407,29770820,20694,0,0,73187460,1456010710,20693,1341925,20693,1281267646,114930619
1782718770467,35663,30635864,21464,0,0,73294727,1520665417,21463,1398396,21463,1336527788,120868339
1782718770719,35915,31426434,22170,0,0,73393386,1570750480,22170,1449518,22170,1377956965,127732510
1782718770971,36167,32843580,22729,0,0,73481055,1647441984,22729,1493524,22729,1437577078,136876593
1782718771236,36432,33137985,22978,0,0,73515464,1659901196,22978,1511095,22978,1448070181,138215578
1782718771494,36690,34188542,23730,0,0,73622040,1704667529,23730,1564619,23730,1484523491,144705536
1782718771746,36943,39089268,24231,0,0,92118081,1779029083,24231,1613386,24231,1546103776,151636981
1782718771997,37193,41114913,24986,0,0,102992561,1870987157,24986,1690871,24986,1621311590,164761414
1782718772248,37444,42657606,25737,0,0,113932743,1962242284,25737,1754980,25737,1698747048,173672941
1782718772500,37696,45922943,26489,0,0,114061275,2060845048,26489,1824416,26489,1780287880,184745710
1782718772751,37948,45930602,26490,0,0,114061275,2060845048,26489,1824416,26489,1780287880,184745710
1782718773002,38198,46363478,26820,0,0,141067759,2092899770,26820,1853079,26820,1807552327,188021412
1782718773257,38453,47166977,27319,0,0,144436013,2151457657,27319,1897553,27319,1850937862,196644863
1782718773522,38718,47744697,27820,0,0,144685336,2188226455,27820,1940090,27820,1880388911,202168842
1782718773792,38989,49581168,28563,0,0,145156427,2251834130,28563,2038482,28563,1927731350,208646811
1782718774062,39258,51519356,29160,0,0,145243453,2298545915,29160,2083650,29160,1964956193,215952385
1782718774314,39510,53488430,29665,0,0,145331121,2370466158,29664,2928122,29664,2016072210,233716624
1782718774601,39797,53978248,30158,0,0,145398462,2401892417,30158,2963563,30158,2042021579,237385588
1782718774856,40052,55137032,30819,0,0,155276002,2506305074,30819,3023015,30819,2118581870,253892932
1782718775107,40303,55892800,31569,0,0,155377526,2599094528,31569,3083202,31569,2192003645,265308572
1782718775381,40577,57056839,32292,0,0,172907945,2655809452,32291,3142545,32291,2238150078,270578418
1782718775632,40829,58128385,33070,0,0,173012683,2756873377,33070,3205492,33070,2309798771,286753865
1782718775895,41091,58466617,33395,0,0,193536362,2802151664,33395,3237152,33395,2346599653,291606733
1782718776148,41344,59125389,34030,0,0,193625654,2862677566,34029,3289437,34029,2393499685,297614836
1782718776399,41595,60705554,34787,0,0,208624116,2951308523,34786,3744080,34786,2462688822,308945626
1782718776656,41853,61325699,35556,0,0,208727421,3024461129,35555,3807872,35555,2519389272,319839895
1782718776907,42103,62265003,36217,0,0,239569270,3099430004,36216,3866831,36216,2576664406,330911072
1782718777159,42355,62900498,37048,0,0,239688533,3201888071,37047,3937744,37047,2654815635,343889081
1782718777414,42610,63312781,37638,0,0,239760811,3239421393,37637,3980716,37637,2687240438,346578927
1782718778314,43509,63660205,38122,0,0,239819175,3268767780,38122,4015473,38122,2712326312,348722734
1782718778565,43761,65265319,38762,0,0,239904257,3394081686,38762,4066437,38762,2793219931,379938092
1782718778817,44013,67121184,39271,0,0,240019100,3476615838,39270,4783061,39270,2861070588,389247291
1782718779069,44265,68716512,40267,0,0,261658825,3596156512,40267,4864657,40267,2957877040,404476266
1782718779320,44516,69554402,41019,0,0,261764457,3678505530,41019,4936913,41019,3026356749,413402917
1782718779572,44768,70146528,41771,0,0,267025372,3775006678,41771,5002123,41771,3097425716,428786265
1782718779823,45019,71149113,42373,0,0,275079574,3812515603,42373,5047004,42373,3123907726,434351351
1782718780101,45297,71453465,42874,0,0,275139608,3839112599,42874,5082783,42874,3144335003,437983345
1782718780353,45549,77587438,43124,0,0,275171119,3866965366,43124,5101582,43124,3169831342,439294914
1782718780604,45801,77873706,43621,0,0,275212723,3905653737,43620,5131727,43620,3200016327,445417142
1782718780856,46052,78654819,44441,0,0,302580403,3981681760,44441,5200604,44441,3262351385,454548162
1782718781113,46309,80387479,44942,0,0,314731023,4016035811,44942,5238355,44942,3284952435,463858533
1782718781371,46567,80725721,45444,0,0,314793638,4042696559,45444,5275266,45444,3304907769,467115335
1782718781622,46819,81732057,46195,0,0,316216023,4114273613,46195,5378157,46195,3361698820,476878157
1782718781873,47068,83281298,46920,0,0,328350496,4202975437,46920,5441091,46920,3432805519,487311522
1782718782128,47324,86011163,47670,0,0,329253775,4282793098,47670,5502767,47670,3495571437,493686624
1782718782381,47577,86621689,48237,0,0,338714609,4363390156,48237,5553143,48237,3555332276,507802309
1782718782633,47830,87298697,49020,0,0,364762681,4468709757,49019,5618734,49019,3642452900,519703332
1782718782884,48080,89024708,49797,0,0,364875158,4552615659,49796,5685840,49796,3709408393,530910484
1782718783152,48348,89145221,49988,0,0,364890841,4560890912,49987,5697589,49987,3716069294,531701035
1782718783406,48602,89760023,50738,0,0,376275796,4656281240,50738,5761565,50738,3786907689,550876431
1782718783658,48855,91059638,51300,0,0,376974986,4723192966,51299,5812922,51299,3837600542,561839823
1782718783910,49106,92222645,51725,0,0,377034602,4762771258,51725,5848348,51725,3865547759,567987323
1782718784161,49356,94169923,52476,0,0,393287800,4856800059,52476,5915953,52476,3935348877,581067991
1782718784411,49607,95399770,53228,0,0,410648452,4971212064,53228,5987444,53228,4021418252,593818297
1782718784677,49874,95758788,53756,0,0,410718463,5029492194,53755,6025778,53755,4068888806,600778172
1782718784928,50124,96697945,54611,0,0,428501811,5166612457,54611,6121212,54611,4166065943,628898287
1782718785180,50376,98071323,55362,0,0,428627423,5257629368,55362,6186812,55362,4241848927,638964094
1782718785432,50628,98661538,56113,0,0,438844220,5352937460,56113,6251043,56113,4317121043,648834837
1782718785684,50881,99911263,56635,0,0,455649465,5454111933,56634,6295930,56634,4392383618,663012175
1782718785936,51132,100337649,57161,0,0,455725466,5499869561,57161,6337205,57161,4427664527,670042512
1782718786187,51383,100997065,57911,0,0,469431364,5599714835,57911,6401598,57911,4504167091,684954285
1782718786438,51634,102132283,58663,0,0,469540010,5687811126,58663,6467192,58663,4568884248,698398394
1782718786695,51892,104988696,59162,0,0,505025122,5743328723,59162,6511550,59162,4611463474,708678014
1782718786947,52143,107390443,59760,0,0,523584102,5857702295,59759,6563407,59759,4711218629,717462917
1782718787198,52394,108291438,60607,0,0,524118054,5967659887,60606,6635739,60606,4793989279,737000861
1782718787456,52652,108818762,61368,0,0,544360918,6022404156,61368,6687188,61368,4828140569,753663441
1782718787718,52915,109417263,61868,0,0,563380998,6077904062,61868,6726378,61868,4868838257,760316644
1782718787969,53165,109955844,62495,0,0,593050242,6169012146,62494,6777325,62494,4931571006,783094564
