ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782719780848,14.8,15.9,14.3,18.5,11.7,1336,2062
1782719781849,21.8,24.1,24.1,19.5,17.8,1345,2053
1782719782851,27.1,28.8,30.0,25.3,24.3,1353,2044
1782719783853,29.7,28.9,31.2,31.2,27.8,1362,2036
1782719784854,50.8,50.0,50.0,53.2,49.3,1371,2026
1782719785855,56.8,58.0,61.5,52.6,54.3,1381,2016
1782719786857,77.8,81.0,75.0,72.2,83.6,1391,2007
1782719787860,77.6,80.3,68.9,77.9,82.6,1399,1999
1782719788868,77.3,70.7,77.9,87.7,72.3,1408,1989
1782719789875,84.6,81.3,72.2,96.3,84.3,1415,1982
1782719790887,84.0,78.6,77.5,92.1,90.0,1423,1974
1782719791899,81.8,71.6,86.3,89.2,77.4,1432,1965
1782719792902,79.9,74.0,71.4,96.4,73.4,1440,1957
1782719793921,79.0,82.1,73.0,85.0,74.2,1448,1949
1782719794924,80.9,80.3,69.7,94.4,77.1,1457,1940
1782719795931,78.2,83.8,67.6,90.6,67.7,1466,1931
1782719796949,75.7,69.7,65.8,95.5,66.7,1476,1921
1782719797978,77.2,65.3,77.3,96.2,66.7,1483,1914
1782719798984,76.6,66.7,87.5,72.7,78.3,1493,1904
1782719799987,75.2,66.7,90.0,65.8,76.8,1506,1891
1782719800990,77.8,70.0,90.5,58.6,89.7,1509,1888
1782719801998,82.3,64.6,86.2,94.0,83.9,1515,1882
1782719803009,76.9,72.7,80.0,69.7,87.3,1522,1875
1782719804011,74.3,69.3,81.2,66.7,80.0,1531,1866
1782719805014,68.8,67.5,66.7,60.8,80.5,1510,1887
1782719806019,1.6,1.0,3.0,1.0,3.7,1510,1887
1782719807026,1.3,0.0,2.1,1.0,2.0,1510,1887
1782719808027,4.3,3.2,4.4,3.3,3.1,1512,1885
1782719809049,78.2,75.3,78.7,64.3,95.5,1541,1856
1782719810052,95.8,92.5,100.0,95.5,96.7,1546,1852
1782719811059,94.3,96.2,98.7,84.9,97.1,1553,1844
1782719812136,92.5,98.6,92.6,80.5,96.9,1575,1822
1782719813511,93.6,100.0,92.3,86.7,96.5,1574,1824
1782719814513,87.3,86.9,94.9,89.2,76.5,1590,1807
1782719815532,91.3,81.8,98.6,87.8,100.0,1604,1793
1782719816543,94.1,91.4,97.1,94.3,93.7,1611,1786
1782719817623,90.2,100.0,78.7,85.1,98.4,1614,1783
1782719818646,91.0,98.6,78.9,90.4,98.3,1635,1763
1782719819657,85.5,97.3,76.2,78.5,93.7,1645,1752
1782719820662,89.2,95.1,81.6,84.6,95.7,1649,1748
1782719821686,80.9,76.5,75.0,75.6,100.0,1656,1741
1782719822694,82.7,77.5,83.8,72.7,100.0,1660,1737
1782719823707,88.2,87.0,84.3,86.3,95.7,1666,1731
1782719824726,92.8,92.0,88.0,98.7,89.6,1671,1726
1782719825734,91.2,98.9,77.2,98.9,89.9,1676,1721
1782719826739,87.9,87.5,76.1,94.7,92.4,1679,1718
1782719827745,87.9,86.8,88.8,88.9,88.1,1685,1712
1782719828752,80.9,84.8,72.2,73.3,95.5,1692,1705
1782719829882,83.5,88.0,76.6,86.4,81.4,1696,1701
1782719830887,82.0,90.6,73.3,91.9,67.7,1695,1702
1782719831897,81.6,96.1,81.9,78.9,66.1,1697,1700
1782719832919,83.8,78.2,83.5,89.2,85.7,1699,1699
1782719833928,20.0,16.3,27.3,19.8,16.9,1627,1770
1782719834931,1.0,1.0,2.2,0.0,2.0,1627,1770
1782719835967,0.5,0.0,1.0,1.0,0.0,1627,1771
1782719836980,41.6,56.0,41.8,30.0,36.0,1637,1760
1782719838029,95.2,98.7,88.6,98.7,98.6,1658,1739
1782719839067,96.0,89.3,98.8,98.8,94.7,1663,1734
1782719840067,94.5,98.6,100.0,100.0,78.5,1675,1722
1782719841218,95.2,100.0,100.0,100.0,81.2,1686,1712
1782719842237,95.2,100.0,100.0,98.7,79.4,1691,1706
1782719843251,90.9,98.7,94.8,89.2,80.6,1694,1703
1782719844253,94.3,100.0,91.5,100.0,85.2,1696,1701
1782719845365,91.2,87.0,100.0,97.2,78.3,1697,1700
1782719846386,94.5,90.7,100.0,96.1,90.8,1700,1697
1782719847422,97.7,98.2,100.0,96.2,96.3,1701,1696
1782719848425,93.7,82.1,98.8,100.0,92.8,1703,1694
1782719849451,87.8,80.6,89.6,98.7,81.0,1705,1692
1782719850473,93.0,89.0,85.1,100.0,100.0,1707,1690
1782719851493,95.4,93.6,94.3,98.9,93.7,1708,1689
1782719852503,92.0,82.1,92.0,97.8,96.1,1709,1688
1782719853526,86.2,79.3,78.3,91.6,96.9,1710,1688
1782719854562,86.9,85.4,95.5,81.7,82.7,1709,1688
1782719855594,84.2,83.1,94.1,76.8,82.4,1710,1687
1782719856660,87.5,84.4,89.9,84.6,91.9,1710,1687
1782719857662,81.9,72.2,75.6,81.7,100.0,1707,1690
1782719858665,83.0,71.1,76.2,89.8,92.5,1709,1688
1782719859669,80.5,83.8,80.3,82.9,77.3,1708,1689
1782719860670,82.1,82.1,84.7,75.3,87.1,1708,1689
1782719861682,57.6,61.8,53.4,56.6,56.1,1635,1762
1782719862731,0.7,2.0,1.0,0.0,1.0,1634,1763
1782719864201,0.5,0.7,0.0,0.0,0.7,1634,1763
1782719865210,7.3,12.0,8.4,3.3,7.3,1639,1758
1782719866218,87.0,100.0,90.8,73.8,85.5,1664,1733
1782719867266,96.3,100.0,95.9,89.9,100.0,1680,1717
1782719868407,95.4,93.1,90.4,98.6,100.0,1682,1715
1782719869432,85.7,88.3,75.6,90.8,87.5,1698,1699
1782719870453,94.0,92.7,89.0,100.0,97.2,1699,1698
1782719871461,86.9,75.0,77.0,100.0,95.4,1702,1695
1782719872464,86.0,81.3,77.3,89.7,97.0,1704,1693
1782719873470,86.9,81.8,87.1,80.5,100.0,1705,1693
1782719874474,86.7,78.4,93.9,74.7,98.7,1705,1692
1782719875482,92.1,97.4,83.8,87.8,100.0,1706,1691
1782719876484,90.7,98.8,83.3,84.6,94.7,1706,1691
1782719877485,92.7,100.0,78.9,94.8,94.5,1707,1690
1782719878489,92.6,97.5,81.3,91.2,100.0,1709,1688
1782719879493,92.6,95.3,91.5,90.2,94.7,1710,1687
1782719880497,91.4,93.1,81.2,95.4,95.0,1710,1687
1782719881500,88.1,81.1,75.4,95.0,100.0,1710,1687
1782719882513,84.7,72.4,78.9,87.5,100.0,1711,1686
1782719883515,85.2,73.7,87.8,82.7,96.0,1712,1685
1782719884530,83.5,75.0,82.1,79.0,98.6,1712,1685
1782719885535,88.1,94.9,86.7,76.4,92.8,1712,1685
1782719886547,87.9,98.6,79.4,92.9,82.5,1712,1685
1782719887561,87.7,92.7,83.3,93.8,79.4,1712,1685
1782719888572,85.1,98.9,75.0,92.0,68.2,1713,1685
1782719889574,87.9,97.8,82.1,88.1,80.3,1712,1685
1782719890581,64.6,97.5,57.3,50.0,53.2,1642,1755
1782719891586,7.4,15.7,3.1,3.2,11.5,1641,1756
1782719892606,0.3,0.0,2.0,0.0,1.0,1641,1756
1782719893615,19.7,15.6,22.1,24.7,15.4,1651,1747
1782719894681,65.8,58.7,60.4,59.8,100.0,1686,1711
1782719895731,98.5,98.9,95.5,100.0,100.0,1698,1699
1782719896733,92.2,100.0,86.6,82.9,100.0,1700,1697
1782719897762,88.4,100.0,78.4,74.3,100.0,1699,1698
1782719898794,88.7,92.3,74.7,93.2,97.0,1702,1696
1782719899844,91.8,88.2,86.0,94.9,100.0,1705,1692
1782719900860,90.3,87.2,83.1,96.1,95.6,1704,1693
1782719901861,54.5,51.2,56.1,52.5,58.3,1710,1687
1782719902862,88.1,91.2,84.9,85.9,89.3,1724,1674
1782719903866,90.7,93.4,81.9,89.8,97.8,1730,1667
1782719904908,98.3,100.0,98.8,95.4,98.8,1730,1667
1782719905911,94.8,91.9,96.5,96.5,94.5,1719,1678
1782719906926,82.5,70.7,76.9,91.9,90.9,1721,1676
1782719907939,94.1,94.0,85.2,97.6,98.7,1723,1674
1782719908991,91.1,89.0,96.0,79.7,100.0,1724,1673
1782719909993,86.7,79.3,98.8,73.7,94.5,1725,1673
1782719911027,89.7,79.5,100.0,83.8,98.6,1726,1671
1782719912037,93.2,91.8,97.6,89.3,94.4,1728,1669
1782719913040,96.8,91.0,100.0,100.0,95.9,1727,1670
1782719914043,92.1,96.5,80.2,97.8,92.0,1727,1670
1782719915048,90.1,97.7,81.8,96.5,83.1,1729,1669
1782719916056,89.5,97.7,80.2,97.7,78.6,1728,1669
1782719917060,86.8,86.7,76.4,95.0,89.9,1729,1668
1782719918083,81.0,78.2,72.0,92.9,78.9,1728,1669
1782719919090,37.6,23.6,84.5,33.8,23.0,1749,1648
1782719920093,6.8,9.4,8.8,4.3,6.8,1670,1727
1782719921452,0.6,0.0,0.0,0.0,2.6,1667,1730
1782719922456,9.1,9.7,10.6,10.8,5.3,1663,1734
1782719923469,60.6,58.2,40.7,74.6,87.8,1701,1696
1782719924507,70.5,67.5,54.8,81.8,87.2,1712,1685
1782719925513,96.2,91.9,94.2,100.0,97.5,1710,1687
1782719926523,96.0,95.2,95.1,96.5,97.4,1709,1688
