ts_unix_ms,sngrep_pct,sipp_pct
1782833896292,0.2,1.9
1782833897313,0.2,2.2
1782833898471,0.4,1.3
1782833899475,0.2,2.2
1782833900479,0.7,1.2
1782833901484,0.0,1.5
1782833902501,0.2,2.2
1782833903506,0.5,2.2
1782833904510,0.5,1.7
1782833905519,0.0,2.0
1782833906523,0.2,2.0
1782833907527,0.2,2.5
1782833908535,0.5,2.2
1782833909563,0.5,1.9
1782833910579,0.0,1.5
1782833911582,0.5,1.5
1782833912619,0.2,2.2
1782833913623,0.2,2.7
1782833914732,0.7,1.6
1782833915736,0.0,2.5
1782833916776,0.5,1.7
1782833917802,0.5,2.7
1782833918805,0.2,2.0
1782833919810,0.5,2.7
1782833920814,0.0,-23.4
1782833921818,0.0,1.0
1782833922827,0.0,0.7
1782833923892,0.0,0.5
1782833924894,1.7,4.2
1782833925897,1.2,5.5
1782833926900,1.7,4.5
1782833927913,1.5,4.7
1782833928916,1.2,4.0
1782833929921,1.2,3.2
1782833930924,1.0,3.7
1782833931927,1.2,4.7
1782833932931,0.7,3.2
1782833933973,1.2,4.1
1782833934976,1.5,3.7
1782833936206,1.0,2.4
1782833937209,1.0,4.7
1782833938211,1.2,5.0
1782833939216,1.2,4.2
1782833940220,1.2,5.2
1782833941224,1.2,4.7
1782833942227,1.2,4.5
1782833943231,1.0,4.0
1782833944235,1.2,3.5
1782833945242,1.0,4.0
1782833946245,1.5,4.0
1782833947251,1.0,4.2
1782833948254,1.2,4.0
1782833949273,0.5,-45.6
1782833950276,0.2,0.5
1782833951278,0.0,1.2
1782833952283,1.5,4.5
1782833953286,2.2,6.0
1782833954290,2.2,5.2
1782833955294,2.5,7.5
1782833956297,2.7,6.5
1782833957309,5.4,13.6
1782833958317,3.5,9.2
1782833959330,4.7,12.1
1782833960338,5.7,13.6
1782833961344,5.2,12.9
1782833962355,5.2,13.1
1782833963366,4.5,11.1
1782833964425,3.8,9.9
1782833965436,8.9,19.8
1782833966447,5.9,15.1
1782833967457,4.2,8.7
1782833968466,5.9,13.4
1782833969477,4.4,11.6
1782833970606,4.4,10.6
1782833971614,4.2,9.9
1782833972617,5.2,14.4
1782833973626,4.2,13.4
1782833974634,4.5,13.4
1782833975644,3.7,9.9
1782833976701,2.6,-117.5
1782833979545,0.0,0.8
1782833980576,3.4,7.0
1782833981580,4.7,8.0
1782833982585,4.2,10.5
1782833983591,3.0,6.7
1782833984595,4.0,8.0
1782833985598,4.2,8.2
1782833986601,5.0,8.0
1782833987605,4.5,9.7
1782833988608,3.0,6.5
1782833989611,3.7,6.5
1782833990618,4.5,8.4
1782833991621,3.5,5.7
1782833992624,4.2,7.7
1782833993626,3.7,7.0
1782833994630,4.7,8.2
1782833995639,4.5,8.2
1782833996644,3.7,7.0
1782833997647,3.5,6.5
1782833998650,4.7,8.5
1782833999653,4.0,7.5
1782834000656,4.2,8.0
1782834001659,3.7,7.0
1782834002665,2.5,5.0
1782834003668,3.7,6.2
1782834004671,3.5,-75.8
1782834005674,0.2,1.2
1782834006701,0.2,1.0
1782834007885,0.2,1.3
1782834008889,8.5,12.7
1782834009892,9.2,12.5
1782834010895,7.7,17.9
1782834011905,6.2,13.1
1782834012909,5.2,9.0
1782834013920,7.7,11.6
1782834014924,6.5,9.7
1782834015929,7.2,10.5
1782834016932,9.0,13.2
1782834017935,9.0,12.7
1782834018939,9.0,14.2
1782834019946,3.5,5.5
1782834020952,5.7,9.2
1782834021955,5.0,8.7
1782834022958,6.0,10.2
1782834023962,7.5,10.2
1782834024965,9.2,13.7
1782834025968,9.0,13.5
1782834026973,9.0,14.2
1782834027976,9.0,14.7
1782834028979,9.2,14.0
1782834029983,9.0,14.7
1782834030988,8.7,13.7
1782834031991,6.2,9.5
1782834033180,8.6,-96.9
1782834034437,0.2,2.8
1782834036019,0.2,1.6
1782834037024,22.4,35.3
1782834038030,22.6,29.8
1782834039034,21.2,35.9
1782834040042,20.1,36.0
1782834041046,20.2,28.9
1782834042054,16.9,22.1
1782834043057,19.2,22.7
1782834044060,18.7,21.9
1782834045074,19.0,25.2
1782834046077,18.4,24.9
1782834047080,7.5,10.7
1782834048082,19.4,23.4
1782834049085,15.2,21.2
1782834050088,19.9,26.4
1782834051091,18.9,22.2
1782834052094,19.4,23.4
1782834053096,18.9,25.7
1782834054101,11.4,16.9
1782834055105,20.2,24.4
1782834056109,19.7,24.1
1782834057115,19.6,25.8
1782834058122,15.6,21.4
1782834059125,20.7,26.2
1782834060128,19.4,24.4
1782834061363,14.6,-214.2
1782834062632,0.0,3.0
1782834063735,0.2,3.6
1782834065107,0.2,3.6
