ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782834548470,0,lo,0,0,0,0,0,0,0.000
1782834548720,251,lo,0,0,0,0,0,0,0.000
1782834549011,542,lo,0,0,0,0,0,0,0.000
1782834549269,800,lo,0,0,0,0,0,0,0.000
1782834549527,1056,lo,0,0,0,0,0,0,0.000
1782834549861,1391,lo,0,0,0,0,0,0,0.000
1782834550112,1643,lo,0,0,0,0,0,0,0.000
1782834550366,1896,lo,0,0,0,0,0,0,0.000
1782834550624,2154,lo,0,0,0,0,0,0,0.000
1782834550888,2419,lo,0,0,0,0,0,0,0.000
1782834551151,2681,lo,0,0,0,0,0,0,0.000
1782834551404,2934,lo,0,0,0,0,0,0,0.000
1782834551659,3190,lo,0,0,0,0,0,0,0.000
1782834551923,3453,lo,0,0,0,0,0,0,0.000
1782834552181,3712,lo,0,0,0,0,0,0,0.000
1782834552442,3972,lo,0,0,0,0,0,0,0.000
1782834552693,4223,lo,212,0,0,212,0,0,0.000
1782834552943,4473,lo,1634,0,0,1422,0,0,0.000
1782834553193,4723,lo,4312,0,0,2678,0,0,0.000
1782834553445,4975,lo,8234,0,0,3922,0,0,0.000
1782834553704,5235,lo,13572,0,0,5338,0,0,0.000
1782834553956,5486,lo,20196,0,0,6624,0,0,0.000
1782834554206,5737,lo,27940,0,0,7744,0,0,0.000
1782834554456,5987,lo,36942,0,0,9002,0,0,0.000
1782834554706,6237,lo,47040,0,0,10098,0,0,0.000
1782834554957,6487,lo,57412,0,0,10372,0,0,0.000
1782834555207,6737,lo,67650,0,0,10238,0,0,0.000
1782834555457,6987,lo,78020,0,0,10370,0,0,0.000
1782834555708,7238,lo,88450,0,0,10430,0,0,0.000
1782834555959,7489,lo,98800,0,0,10350,0,0,0.000
1782834556210,7740,lo,109112,0,0,10312,0,0,0.000
1782834556461,7991,lo,119416,0,0,10304,0,0,0.000
1782834556711,8241,lo,129716,0,0,10300,0,0,0.000
1782834556961,8492,lo,140020,0,0,10304,0,0,0.000
1782834557214,8744,lo,150340,0,0,10320,0,0,0.000
1782834557464,8995,lo,160696,0,0,10356,0,0,0.000
1782834557714,9245,lo,171012,0,0,10316,0,0,0.000
1782834557968,9498,lo,181527,0,0,10515,0,0,0.000
1782834558218,9749,lo,191872,0,0,10345,0,0,0.000
1782834558468,9999,lo,202180,0,0,10308,0,0,0.000
1782834558719,10250,lo,212514,0,0,10334,0,0,0.000
1782834558970,10500,lo,222828,0,0,10314,0,0,0.000
1782834559220,10751,lo,233124,0,0,10296,0,0,0.000
1782834559470,11000,lo,243428,0,0,10304,0,0,0.000
1782834559721,11251,lo,253728,0,0,10300,0,0,0.000
1782834559971,11501,lo,264028,0,0,10300,0,0,0.000
1782834560221,11751,lo,274324,0,0,10296,0,0,0.000
1782834560471,12001,lo,284618,0,0,10294,0,0,0.000
1782834560722,12253,lo,294936,0,0,10318,0,0,0.000
1782834560973,12503,lo,305252,0,0,10316,0,0,0.000
1782834561223,12753,lo,315542,0,0,10290,0,0,0.000
1782834561473,13003,lo,325896,0,0,10354,0,0,0.000
1782834561724,13255,lo,336158,0,0,10262,0,0,0.000
1782834561975,13505,lo,346500,0,0,10342,0,0,0.000
1782834562225,13756,lo,356824,0,0,10324,0,0,0.000
1782834562476,14006,lo,367212,0,0,10388,0,0,0.000
1782834562727,14258,lo,377576,0,0,10364,0,0,0.000
1782834562977,14508,lo,387896,0,0,10320,0,0,0.000
1782834563228,14758,lo,398216,0,0,10320,0,0,0.000
1782834563478,15008,lo,408568,0,0,10352,0,0,0.000
1782834563728,15259,lo,418876,0,0,10308,0,0,0.000
1782834563979,15509,lo,429188,0,0,10312,0,0,0.000
1782834564229,15760,lo,439452,0,0,10264,0,0,0.000
1782834564480,16009,lo,449836,0,0,10384,0,0,0.000
1782834564731,16261,lo,460150,0,0,10314,0,0,0.000
1782834564981,16512,lo,470440,0,0,10290,0,0,0.000
1782834565233,16763,lo,480758,0,0,10318,0,0,0.000
1782834565483,17012,lo,491048,0,0,10290,0,0,0.000
1782834565733,17263,lo,501380,0,0,10332,0,0,0.000
1782834565983,17514,lo,511660,0,0,10280,0,0,0.000
1782834566234,17764,lo,521990,0,0,10330,0,0,0.000
1782834566484,18014,lo,532276,0,0,10286,0,0,0.000
1782834566735,18265,lo,542608,0,0,10332,0,0,0.000
1782834566985,18516,lo,552952,0,0,10344,0,0,0.000
1782834567236,18766,lo,563268,0,0,10316,0,0,0.000
1782834567486,19015,lo,573596,0,0,10328,0,0,0.000
1782834567738,19268,lo,584060,0,0,10464,0,0,0.000
1782834567988,19519,lo,594278,0,0,10218,0,0,0.000
1782834568238,19769,lo,604700,0,0,10422,0,0,0.000
1782834568489,20018,lo,614984,0,0,10284,0,0,0.000
1782834568739,20270,lo,625332,0,0,10348,0,0,0.000
