ts_unix_ms,elapsed_ms,source,recv,drop,ifdrop,d_recv,d_drop,d_ifdrop,drop_pct
1782835044639,0,lo,0,0,0,0,0,0,0.000
1782835044890,250,lo,0,0,0,0,0,0,0.000
1782835045143,503,lo,0,0,0,0,0,0,0.000
1782835045394,754,lo,0,0,0,0,0,0,0.000
1782835045660,1021,lo,0,0,0,0,0,0,0.000
1782835045911,1272,lo,0,0,0,0,0,0,0.000
1782835046165,1525,lo,0,0,0,0,0,0,0.000
1782835046418,1778,lo,0,0,0,0,0,0,0.000
1782835046679,2039,lo,0,0,0,0,0,0,0.000
1782835046929,2290,lo,0,0,0,0,0,0,0.000
1782835047183,2543,lo,0,0,0,0,0,0,0.000
1782835047480,2840,lo,0,0,0,0,0,0,0.000
1782835047782,3143,lo,0,0,0,0,0,0,0.000
1782835048042,3402,lo,0,0,0,0,0,0,0.000
1782835048343,3703,lo,0,0,0,0,0,0,0.000
1782835048725,4085,lo,0,0,0,0,0,0,0.000
1782835049025,4385,lo,248,0,0,248,0,0,0.000
1782835049276,4637,lo,558,0,0,310,0,0,0.000
1782835049527,4888,lo,860,0,0,302,0,0,0.000
1782835049777,5138,lo,1160,0,0,300,0,0,0.000
1782835050027,5388,lo,1460,0,0,300,0,0,0.000
1782835050310,5671,lo,1732,0,0,272,0,0,0.000
1782835050562,5922,lo,2096,0,0,364,0,0,0.000
1782835050814,6175,lo,2396,0,0,300,0,0,0.000
1782835051068,6428,lo,2708,0,0,312,0,0,0.000
1782835051332,6693,lo,3024,0,0,316,0,0,0.000
1782835051583,6945,lo,3286,0,0,262,0,0,0.000
1782835051844,7205,lo,3600,0,0,314,0,0,0.000
1782835052095,7456,lo,3860,0,0,260,0,0,0.000
1782835052409,7770,lo,4256,0,0,396,0,0,0.000
1782835052840,8201,lo,4576,0,0,320,0,0,0.000
1782835053092,8452,lo,4944,0,0,368,0,0,0.000
1782835053342,8703,lo,5244,0,0,300,0,0,0.000
1782835053592,8954,lo,5544,0,0,300,0,0,0.000
1782835053843,9203,lo,5824,0,0,280,0,0,0.000
1782835054094,9454,lo,6144,0,0,320,0,0,0.000
1782835054344,9705,lo,6444,0,0,300,0,0,0.000
1782835054595,9957,lo,6744,0,0,300,0,0,0.000
1782835054846,10206,lo,7052,0,0,308,0,0,0.000
1782835055097,10457,lo,7348,0,0,296,0,0,0.000
1782835055348,10708,lo,7652,0,0,304,0,0,0.000
1782835055609,10970,lo,7890,0,0,238,0,0,0.000
1782835055955,11315,lo,8372,0,0,482,0,0,0.000
1782835056206,11566,lo,8680,0,0,308,0,0,0.000
1782835056457,11817,lo,8984,0,0,304,0,0,0.000
1782835056707,12068,lo,9284,0,0,300,0,0,0.000
1782835056959,12319,lo,9582,0,0,298,0,0,0.000
1782835057283,12643,lo,9972,0,0,390,0,0,0.000
1782835057583,12944,lo,10332,0,0,360,0,0,0.000
1782835058025,13386,lo,10848,0,0,516,0,0,0.000
1782835058289,13650,lo,11136,0,0,288,0,0,0.000
1782835058540,13901,lo,11454,0,0,318,0,0,0.000
1782835058791,14152,lo,11684,0,0,230,0,0,0.000
1782835059157,14518,lo,12128,0,0,444,0,0,0.000
1782835059408,14769,lo,12428,0,0,300,0,0,0.000
1782835059659,15019,lo,12728,0,0,300,0,0,0.000
1782835059915,15275,lo,12976,0,0,248,0,0,0.000
1782835060188,15548,lo,13252,0,0,276,0,0,0.000
1782835060457,15817,lo,13548,0,0,296,0,0,0.000
1782835060707,16068,lo,13940,0,0,392,0,0,0.000
1782835060965,16325,lo,14240,0,0,300,0,0,0.000
1782835061222,16583,lo,14540,0,0,300,0,0,0.000
1782835061478,16838,lo,14840,0,0,300,0,0,0.000
1782835061733,17093,lo,15020,0,0,180,0,0,0.000
1782835061989,17350,lo,15296,0,0,276,0,0,0.000
1782835062242,17602,lo,15514,0,0,218,0,0,0.000
1782835062492,17853,lo,15812,0,0,298,0,0,0.000
1782835062749,18110,lo,16088,0,0,276,0,0,0.000
1782835063007,18368,lo,16276,0,0,188,0,0,0.000
1782835063258,18618,lo,16490,0,0,214,0,0,0.000
1782835063509,18870,lo,16724,0,0,234,0,0,0.000
1782835063804,19165,lo,16940,0,0,216,0,0,0.000
1782835064089,19449,lo,17270,0,0,330,0,0,0.000
1782835064342,19702,lo,17564,0,0,294,0,0,0.000
1782835064592,19954,lo,17964,0,0,400,0,0,0.000
1782835064844,20204,lo,18264,0,0,300,0,0,0.000
1782835065094,20454,lo,18560,0,0,296,0,0,0.000
1782835065347,20707,lo,18868,0,0,308,0,0,0.000
1782835065598,20959,lo,19172,0,0,304,0,0,0.000
1782835065848,21209,lo,19472,0,0,300,0,0,0.000
1782835066099,21459,lo,19772,0,0,300,0,0,0.000
1782835066350,21710,lo,20072,0,0,300,0,0,0.000
1782835066602,21963,lo,20376,0,0,304,0,0,0.000
1782835066853,22213,lo,20672,0,0,296,0,0,0.000
1782835067103,22463,lo,20976,0,0,304,0,0,0.000
1782835067353,22713,lo,21276,0,0,300,0,0,0.000
1782835067604,22965,lo,21576,0,0,300,0,0,0.000
1782835067854,23215,lo,21876,0,0,300,0,0,0.000
1782835068105,23466,lo,22176,0,0,300,0,0,0.000
1782835068355,23716,lo,22476,0,0,300,0,0,0.000
1782835068606,23968,lo,22776,0,0,300,0,0,0.000
1782835068857,24217,lo,23078,0,0,302,0,0,0.000
1782835069108,24468,lo,23380,0,0,302,0,0,0.000
1782835069358,24719,lo,23680,0,0,300,0,0,0.000
1782835069609,24970,lo,23984,0,0,304,0,0,0.000
1782835069859,25219,lo,24284,0,0,300,0,0,0.000
1782835070165,25525,lo,24562,0,0,278,0,0,0.000
1782835070415,25776,lo,24932,0,0,370,0,0,0.000
1782835070666,26026,lo,25204,0,0,272,0,0,0.000
1782835070927,26287,lo,25484,0,0,280,0,0,0.000
1782835071177,26537,lo,25816,0,0,332,0,0,0.000
1782835071431,26791,lo,26092,0,0,276,0,0,0.000
1782835071681,27042,lo,26424,0,0,332,0,0,0.000
1782835071941,27302,lo,26708,0,0,284,0,0,0.000
1782835072192,27552,lo,26972,0,0,264,0,0,0.000
1782835072450,27810,lo,27284,0,0,312,0,0,0.000
1782835072702,28063,lo,27582,0,0,298,0,0,0.000
1782835072953,28313,lo,27884,0,0,302,0,0,0.000
1782835073280,28641,lo,28185,0,0,301,0,0,0.000
1782835073539,28899,lo,28516,0,0,331,0,0,0.000
1782835073790,29151,lo,28812,0,0,296,0,0,0.000
1782835074041,29401,lo,28812,0,0,0,0,0,0.000
1782835074291,29652,lo,28812,0,0,0,0,0,0.000
1782835074555,29915,lo,28812,0,0,0,0,0,0.000
1782835074806,30166,lo,28812,0,0,0,0,0,0.000
1782835075141,30501,lo,28812,0,0,0,0,0,0.000
1782835075396,30757,lo,28812,0,0,0,0,0,0.000
1782835075697,31057,lo,28812,0,0,0,0,0,0.000
1782835075950,31311,lo,28812,0,0,0,0,0,0.000
1782835076245,31605,lo,28812,0,0,0,0,0,0.000
1782835076502,31862,lo,28812,0,0,0,0,0,0.000
1782835076792,32152,lo,28812,0,0,0,0,0,0.000
1782835077043,32404,lo,30172,0,0,1360,0,0,0.000
1782835077293,32654,lo,31670,0,0,1498,0,0,0.000
1782835077545,32905,lo,33184,0,0,1514,0,0,0.000
1782835077796,33156,lo,34676,0,0,1492,0,0,0.000
1782835078047,33408,lo,36180,0,0,1504,0,0,0.000
1782835078298,33658,lo,37668,0,0,1488,0,0,0.000
1782835078549,33910,lo,39172,0,0,1504,0,0,0.000
1782835078800,34161,lo,40684,0,0,1512,0,0,0.000
1782835079110,34470,lo,42504,0,0,1820,0,0,0.000
1782835079426,34787,lo,43948,0,0,1444,0,0,0.000
1782835079680,35040,lo,45460,0,0,1512,0,0,0.000
1782835079930,35291,lo,46956,0,0,1496,0,0,0.000
1782835080181,35541,lo,48460,0,0,1504,0,0,0.000
1782835080434,35795,lo,49956,0,0,1496,0,0,0.000
1782835080684,36045,lo,50916,0,0,960,0,0,0.000
1782835080943,36303,lo,51642,0,0,726,0,0,0.000
1782835081194,36554,lo,53148,0,0,1506,0,0,0.000
1782835081450,36811,lo,54128,0,0,980,0,0,0.000
1782835081708,37069,lo,55590,0,0,1462,0,0,0.000
1782835081959,37319,lo,57130,0,0,1540,0,0,0.000
1782835082215,37575,lo,57638,0,0,508,0,0,0.000
1782835082465,37825,lo,59052,0,0,1414,0,0,0.000
1782835082716,38076,lo,60556,0,0,1504,0,0,0.000
1782835082966,38326,lo,62044,0,0,1488,0,0,0.000
1782835083218,38578,lo,63568,0,0,1524,0,0,0.000
1782835083468,38829,lo,64776,0,0,1208,0,0,0.000
1782835083719,39079,lo,66276,0,0,1500,0,0,0.000
1782835083969,39329,lo,67788,0,0,1512,0,0,0.000
1782835084219,39580,lo,69288,0,0,1500,0,0,0.000
1782835084469,39830,lo,70776,0,0,1488,0,0,0.000
1782835084720,40080,lo,72280,0,0,1504,0,0,0.000
1782835084970,40331,lo,73684,0,0,1404,0,0,0.000
1782835085221,40582,lo,75204,0,0,1520,0,0,0.000
1782835085472,40832,lo,76696,0,0,1492,0,0,0.000
1782835085723,41083,lo,78176,0,0,1480,0,0,0.000
1782835085974,41334,lo,79684,0,0,1508,0,0,0.000
1782835086307,41668,lo,79726,0,0,42,0,0,0.000
1782835086559,41920,lo,82440,0,0,2714,0,0,0.000
1782835086814,42175,lo,84426,0,0,1986,0,0,0.000
1782835087065,42426,lo,85776,0,0,1350,0,0,0.000
1782835087335,42696,lo,86052,0,0,276,0,0,0.000
1782835087592,42953,lo,87632,0,0,1580,0,0,0.000
1782835087843,43203,lo,89172,0,0,1540,0,0,0.000
1782835088100,43460,lo,90538,0,0,1366,0,0,0.000
1782835088352,43713,lo,91520,0,0,982,0,0,0.000
1782835088615,43977,lo,92748,0,0,1228,0,0,0.000
1782835088897,44257,lo,94650,0,0,1902,0,0,0.000
1782835089151,44511,lo,96188,0,0,1538,0,0,0.000
1782835089401,44762,lo,97596,0,0,1408,0,0,0.000
1782835089652,45013,lo,99108,0,0,1512,0,0,0.000
1782835089903,45264,lo,100622,0,0,1514,0,0,0.000
1782835090154,45515,lo,102116,0,0,1494,0,0,0.000
1782835090405,45766,lo,103616,0,0,1500,0,0,0.000
1782835090656,46016,lo,105114,0,0,1498,0,0,0.000
1782835090907,46267,lo,106628,0,0,1514,0,0,0.000
1782835091157,46518,lo,108114,0,0,1486,0,0,0.000
1782835091408,46768,lo,109612,0,0,1498,0,0,0.000
1782835091660,47021,lo,111036,0,0,1424,0,0,0.000
1782835091911,47271,lo,112174,0,0,1138,0,0,0.000
1782835092161,47521,lo,113670,0,0,1496,0,0,0.000
