ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns,sip_pkt_ns,sip_pkt_cnt,rtp_pkt_ns,rtp_pkt_cnt
1782835263750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835264007,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835264258,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835264528,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835264784,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835265036,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835265287,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835265537,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835265788,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835266039,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835266291,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835266547,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835266798,3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835267049,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835267300,3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835267552,3802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835267802,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782835268053,4303,71497,361,0,0,5437,1678024,223,4108,223,1564751,17081,1575537,84,94744,139
1782835268305,4555,241852,1532,0,0,20806,4084834,864,15889,864,3595822,59096,3485599,196,569177,668
1782835268558,4808,500609,3128,0,0,40345,6341751,1710,31414,1710,5408621,123428,5113120,292,1169616,1418
1782835268809,5059,828136,5374,0,0,66605,9480209,2881,52465,2881,7888396,196544,7335789,388,2046350,2493
1782835269060,5310,1434209,8616,0,0,106486,13539956,4558,88033,4558,10976315,238904,9838345,500,3545165,4058
1782835269312,5562,2881341,12279,0,0,159362,18800966,6440,127003,6440,15039782,300900,12942045,600,5629571,5840
1782835269562,5812,3889646,16358,0,0,208901,24188534,8527,303773,8527,19377280,338235,16013665,696,7787406,7831
1782835269815,6065,4758445,21196,0,0,267974,28491026,10998,499884,10998,22432487,387141,18170519,800,9846342,10198
1782835270065,6315,5763948,26499,0,0,452393,34692123,13724,553442,13724,27171732,478683,21685119,948,12431193,12776
1782835270316,6566,7278314,31391,0,0,544550,39692828,16242,600181,16242,30981312,598575,24420297,1092,14608437,15150
1782835270566,6816,8338306,36689,0,0,609763,45709879,18969,710229,18969,35645437,725959,27744506,1248,17205579,17721
1782835270822,7072,9345168,41777,0,0,670290,51619055,21585,828186,21585,40117646,870908,30963589,1392,19804962,20193
1782835271072,7322,12118833,47076,0,0,732700,56382368,24311,877168,24311,43799917,973925,33733149,1546,21705375,22765
1782835271322,7572,13260803,52375,0,0,796491,62892230,27039,926910,27039,48894599,1155509,37590606,1702,24262815,25337
