ts_unix_ms,sngrep_pct,sipp_pct
1782839576882,0.7,4.5
1782839577885,1.2,9.0
1782839578888,1.5,11.2
1782839579891,2.0,11.5
1782839580893,2.0,10.5
1782839581897,2.0,10.5
1782839582900,1.5,10.7
1782839583903,2.7,16.0
1782839584910,3.2,16.1
1782839585913,3.0,17.5
1782839586919,2.0,15.4
1782839587925,3.5,18.4
1782839588930,3.7,18.4
1782839589937,3.0,15.4
1782839590942,3.2,17.9
1782839591954,3.2,19.5
1782839592960,3.0,17.9
1782839593968,3.0,16.6
1782839594973,3.5,18.2
1782839595982,3.7,17.3
1782839596987,3.7,18.9
1782839597992,3.5,18.4
1782839598999,3.2,19.4
1782839600006,3.7,19.1
1782839601014,3.5,2.2
1782839602265,0.2,0.2
1782839603989,0.0,0.4
1782839605004,3.2,20.0
1782839606011,6.5,43.9
1782839607024,9.9,54.1
1782839608036,13.6,56.8
1782839609043,13.9,55.8
1782839610050,14.9,57.6
1782839611056,13.2,56.9
1782839612063,13.4,56.2
1782839613069,13.4,53.9
1782839614072,8.7,51.6
1782839615077,8.0,54.0
1782839616085,7.7,53.1
1782839617114,11.9,57.6
1782839618120,11.2,56.9
1782839619125,11.9,58.0
1782839620137,12.6,59.0
1782839621143,8.7,52.7
1782839622147,10.2,49.3
1782839623151,9.0,42.3
1782839624157,8.0,43.7
1782839625160,8.7,45.9
1782839626190,9.7,46.1
1782839627196,11.9,52.2
1782839628204,10.9,50.6
1782839629261,7.6,3.3
1782839630382,0.0,0.2
1782839631410,0.2,0.7
1782839632421,0.0,0.5
1782839633425,6.0,24.4
1782839634446,8.8,53.6
1782839635480,5.8,84.2
1782839636508,8.3,79.0
1782839637537,7.1,71.2
1782839638554,6.4,74.0
1782839639561,6.5,72.7
1782839640583,9.3,73.9
1782839641601,9.1,73.4
1782839642607,6.2,75.8
1782839643616,10.4,68.2
1782839644626,8.2,79.2
1782839645645,8.8,78.0
1782839646656,10.4,76.9
1782839647684,8.8,77.6
1782839648699,10.4,76.6
1782839649711,10.4,74.1
1782839650737,11.7,70.4
1782839651750,9.6,69.6
1782839652769,9.3,69.5
1782839653783,10.4,68.5
1782839654792,8.9,68.1
1782839655804,9.6,66.0
1782839656826,9.0,69.9
1782839657888,5.9,2.4
1782839659043,0.0,0.6
1782839660162,0.0,0.4
1782839661167,2.0,7.0
1782839662204,10.8,56.7
1782839663464,5.2,85.7
1782839664477,10.1,77.8
1782839665486,8.9,64.9
1782839666497,9.6,71.5
1782839667551,11.9,70.2
1782839668558,8.2,71.3
1782839669589,8.2,72.3
1782839670603,10.6,73.7
1782839671654,6.9,79.4
1782839672675,9.8,71.6
1782839673701,9.7,69.4
1782839674723,9.5,57.8
1782839675739,9.1,59.6
1782839676752,11.3,69.8
1782839677798,12.4,65.8
1782839678839,12.7,66.7
1782839679861,11.0,59.9
1782839680868,12.2,66.1
1782839681885,12.3,62.5
1782839682901,11.8,61.3
1782839683905,11.2,64.0
1782839684908,10.7,56.5
1782839685916,9.9,3.5
1782839686923,0.2,0.5
1782839687938,0.0,0.7
1782839688951,0.2,0.5
1782839689954,0.0,0.7
