ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns,sip_pkt_ns,sip_pkt_cnt,rtp_pkt_ns,rtp_pkt_cnt
1782839690194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839690786,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839691037,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839691290,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839691574,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839691825,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839692076,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839692328,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839692578,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839692840,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839693092,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839693343,3149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839693597,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839693848,3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839694099,3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839694357,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839694607,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782839694926,4733,301792,250,0,0,17957,9754036,250,66446,250,8072406,351540,9618083,250,0,0
1782839695177,4984,301792,250,0,0,17957,9754036,250,66446,250,8072406,351540,9618083,250,0,0
1782839695774,5580,435306,544,0,0,40827,14443156,544,120218,544,11706377,652582,14202209,544,0,0
1782839696078,5885,536133,787,0,0,47603,18199600,787,164121,787,14582521,885144,17871587,787,0,0
1782839696329,6134,666845,1096,0,0,56982,23510396,1096,221326,1096,18708410,1209350,23066618,1096,0,0
1782839696629,6435,783483,1344,0,0,65766,28334027,1344,280222,1344,22417708,1517463,27773484,1344,0,0
1782839696933,6740,783483,1344,0,0,65766,28334027,1344,280222,1344,22417708,1517463,27773484,1344,0,0
1782839697244,7050,881332,1589,0,0,71613,31563857,1588,323909,1588,24908314,1734069,30927927,1588,0,0
1782839697496,7301,978948,1664,0,0,993179,35653867,1664,364451,1664,28074456,2022811,34934053,1664,0,0
1782839697746,7553,1070046,1912,0,0,999335,39313227,1912,404365,1912,30955558,2252455,38513932,1912,0,0
1782839697997,7803,1070046,1912,0,0,999335,39313227,1912,404365,1912,30955558,2252455,38513932,1912,0,0
1782839698254,8060,1185435,2261,0,0,1008402,44435786,2261,463838,2261,34750038,2599573,43524553,2261,0,0
1782839698682,8488,1294007,2509,0,0,1016528,48850270,2509,516769,2509,38136636,2902707,47834681,2509,0,0
1782839698949,8755,1294007,2509,0,0,1016528,48850270,2509,516769,2509,38136636,2902707,47834681,2509,0,0
1782839699212,9017,1469474,2848,0,0,1029304,56746823,2848,589322,2848,43904285,3544415,55585996,2848,0,0
1782839699462,9268,1469474,2848,0,0,1029304,56746823,2848,589322,2848,43904285,3544415,55585996,2848,0,0
1782839700022,9828,1709323,3344,0,0,1046524,66240664,3344,711765,3344,51261574,4242662,64870073,3344,0,0
1782839700272,10077,1744876,3448,0,0,1049331,67818110,3448,728427,3448,52500522,4354583,66414608,3448,0,0
1782839700522,10328,1744876,3448,0,0,1049331,67818110,3448,728427,3448,52500522,4354583,66414608,3448,0,0
1782839700773,10580,1825759,3696,0,0,1055913,72042664,3696,768095,3696,55495949,5043345,70560742,3696,0,0
1782839701023,10830,2125566,3944,0,0,1062204,75818837,3944,807294,3944,58279583,5322100,74259352,3944,0,0
1782839701273,11079,2164128,4052,0,0,1065063,77542132,4052,824876,4052,59625694,5459126,75947870,4052,0,0
1782839701542,11348,2164128,4052,0,0,1065063,77542132,4052,824876,4052,59625694,5459126,75947870,4052,0,0
1782839701978,11784,2288553,4299,0,0,1083254,82130553,4299,880573,4299,63112492,5825335,80428496,4299,0,0
1782839702406,12212,2535136,4726,0,0,1970040,93569909,4726,994690,4726,71313110,7259912,91591090,4726,0,0
1782839702679,12485,2535136,4726,0,0,1970040,93569909,4726,994690,4726,71313110,7259912,91591090,4726,0,0
