ts_unix_ms,cpu_all_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,mem_used_mb,mem_avail_mb
1782839695277,2.0,2.0,2.1,1.0,1.0,1368,2030
1782839696278,1.0,1.0,1.0,2.1,1.0,1370,2027
1782839697360,1.4,1.0,1.9,0.0,1.9,1373,2024
1782839698364,1.9,1.0,3.1,3.2,1.1,1375,2022
1782839699373,1.3,1.0,1.0,2.0,0.0,1376,2021
1782839700374,1.0,2.0,1.1,1.0,1.1,1378,2019
1782839701377,2.4,3.1,4.1,1.0,1.1,1378,2019
1782839702418,0.5,1.0,0.0,0.0,0.0,1378,2019
1782839703602,0.2,0.9,0.9,0.0,0.0,1378,2019
1782839704603,1.0,1.1,2.1,0.0,1.0,1378,2019
1782839705604,1.8,1.0,4.3,0.0,1.1,1378,2019
1782839706607,1.6,1.0,3.3,0.0,1.1,1378,2019
1782839707607,1.6,0.0,4.3,1.0,2.2,1378,2019
1782839708608,1.8,2.0,2.2,1.0,1.1,1379,2019
1782839709608,1.6,1.0,3.1,2.1,1.1,1380,2018
1782839710615,1.8,1.0,3.2,1.0,1.1,1382,2016
1782839711616,1.6,1.0,4.3,1.0,1.1,1382,2016
1782839712733,1.4,1.8,2.9,0.0,1.0,1382,2016
1782839713733,1.3,1.0,1.1,1.0,1.1,1385,2012
1782839714734,1.6,1.0,3.3,1.0,2.2,1385,2012
1782839715735,2.3,1.0,4.3,0.0,2.2,1385,2012
1782839716876,1.1,0.9,3.8,0.0,0.9,1385,2012
1782839718153,0.6,0.0,1.7,0.8,0.0,1393,2004
1782839719157,0.0,0.0,0.0,0.0,0.0,1393,2004
1782839720405,0.4,0.0,0.0,0.8,0.0,1393,2004
1782839721507,0.0,0.9,0.0,0.0,0.9,1393,2004
1782839722551,0.5,2.0,0.0,0.0,0.0,1393,2004
1782839724018,2.3,2.9,2.9,2.8,1.4,1403,1994
1782839725546,1.4,1.4,2.7,0.7,0.0,1419,1978
1782839726547,6.0,7.1,6.6,4.2,5.9,1430,1967
1782839727552,0.8,1.1,1.1,0.0,0.0,1446,1951
1782839728724,1.1,0.9,1.9,1.8,0.0,1446,1951
1782839729724,4.0,5.3,3.1,6.2,3.5,1446,1951
1782839730725,3.0,1.0,3.4,4.3,1.1,1446,1951
1782839731726,4.8,0.0,8.9,5.2,6.7,1446,1951
1782839732727,4.9,2.0,5.6,8.2,5.9,1443,1954
1782839733728,4.6,2.0,5.6,7.2,2.3,1442,1955
1782839734729,5.6,1.0,10.0,6.1,4.7,1442,1955
1782839735730,4.0,1.0,6.5,5.1,3.5,1442,1955
1782839736731,4.8,0.0,8.9,6.0,3.5,1442,1955
1782839737732,4.0,3.1,6.8,5.0,3.4,1442,1955
1782839738733,0.5,0.0,1.1,0.0,0.0,1442,1955
1782839739973,1.3,1.7,0.8,2.6,0.0,1442,1955
1782839740974,4.0,0.0,2.0,7.7,4.8,1442,1955
1782839741975,5.7,7.1,11.1,2.0,4.8,1442,1955
1782839742975,5.4,4.0,9.2,4.1,4.7,1442,1955
1782839743976,5.1,1.0,9.1,6.0,4.7,1442,1955
1782839744977,4.6,2.0,6.8,6.1,3.5,1446,1951
1782839745979,5.6,0.0,12.0,6.1,5.7,1446,1951
1782839747382,1.9,2.2,0.8,3.2,0.7,1446,1951
1782839748740,1.5,0.7,0.8,2.3,1.5,1442,1956
1782839749743,0.0,0.0,0.0,0.0,0.0,1442,1956
1782839750792,0.7,0.0,1.0,1.0,0.0,1443,1954
1782839751793,5.9,8.2,3.0,9.0,5.8,1443,1954
1782839752813,4.8,1.0,2.0,6.7,7.4,1443,1954
1782839753814,4.1,1.0,3.3,9.9,5.4,1461,1936
1782839755066,6.9,1.6,11.4,8.5,6.4,1476,1921
1782839756189,3.8,6.6,5.8,0.9,1.9,1476,1921
1782839757702,5.8,8.6,6.9,1.3,5.9,1476,1921
1782839758719,2.7,0.0,4.3,4.3,3.3,1476,1921
1782839759750,2.4,1.0,3.2,4.3,2.2,1476,1921
1782839760965,4.2,7.0,5.3,0.9,2.6,1484,1913
1782839761966,4.6,7.6,0.0,7.9,2.2,1484,1913
1782839762966,9.8,12.4,12.5,4.0,10.8,1484,1913
1782839763967,9.2,14.4,14.3,1.0,7.3,1484,1913
1782839764968,8.6,12.6,8.2,5.3,10.7,1484,1913
1782839765968,9.2,13.3,13.1,1.0,8.4,1484,1913
1782839766969,9.2,13.5,12.4,1.0,10.7,1484,1913
1782839767969,9.0,15.4,12.1,0.0,8.6,1484,1913
1782839768970,8.9,14.6,1.0,14.0,6.1,1484,1913
1782839769970,8.6,14.0,3.1,7.1,10.6,1484,1913
1782839770971,7.2,12.4,10.8,4.1,4.6,1485,1912
1782839771972,8.0,12.4,1.0,9.7,5.9,1485,1912
1782839772972,9.2,14.4,11.8,2.0,9.8,1485,1912
1782839773973,8.0,11.2,10.1,1.0,7.1,1485,1912
1782839774974,8.3,11.2,13.0,1.0,7.1,1486,1911
1782839776232,5.1,9.8,3.2,5.0,4.4,1481,1916
1782839777511,0.2,0.0,0.0,0.8,0.0,1481,1916
1782839779299,0.3,0.0,0.6,0.6,0.0,1486,1911
1782839780305,7.1,3.1,8.2,12.9,2.2,1494,1903
1782839781306,2.5,3.3,2.2,5.6,1.2,1494,1903
1782839782320,7.6,10.2,0.0,14.3,6.2,1534,1863
1782839783322,12.1,2.1,16.5,22.6,6.1,1562,1835
1782839784323,5.4,0.0,8.0,10.6,2.5,1572,1826
1782839785325,13.6,21.2,5.2,20.9,7.9,1585,1812
1782839786326,14.8,25.0,2.0,23.1,8.9,1585,1812
1782839787359,7.0,11.4,6.4,9.8,3.0,1585,1812
1782839788361,6.4,8.8,6.9,6.7,0.0,1585,1812
1782839789421,3.8,4.0,8.5,4.0,1.2,1585,1812
1782839790426,3.1,5.7,2.4,0.0,2.6,1585,1812
1782839791426,3.1,3.5,6.7,0.0,1.3,1585,1812
1782839792536,3.6,6.3,6.5,0.0,3.5,1593,1804
1782839793545,2.8,2.1,4.6,3.2,2.6,1593,1804
1782839794546,6.0,1.0,11.4,8.3,3.9,1594,1803
1782839795546,14.3,1.0,24.2,20.5,12.3,1594,1803
1782839796546,15.5,1.0,24.5,26.4,9.3,1594,1803
1782839797547,12.4,4.1,24.5,13.6,5.0,1594,1803
1782839798552,3.6,5.4,4.3,4.4,0.0,1594,1803
1782839799628,3.9,7.1,0.9,6.1,3.6,1594,1803
1782839800628,6.4,2.1,9.0,10.1,3.7,1594,1803
1782839801629,15.5,14.3,27.2,11.1,6.8,1594,1803
1782839802669,16.9,28.0,18.0,2.0,22.0,1594,1803
1782839803672,18.1,27.1,16.1,4.1,27.4,1594,1803
1782839804672,2.6,4.0,3.1,1.0,2.4,1575,1822
1782839805796,0.2,0.0,0.0,0.0,0.0,1575,1822
1782839806796,0.5,0.0,1.1,1.0,0.0,1575,1822
1782839807798,17.2,25.3,27.4,8.8,6.4,1591,1806
1782839808800,15.7,12.9,12.5,33.8,6.1,1591,1806
1782839809800,31.2,6.4,38.4,58.1,17.2,1661,1736
1782839810801,30.3,25.8,17.0,58.3,17.2,1740,1658
1782839811806,23.4,35.2,10.0,28.7,15.4,1748,1649
1782839812807,9.3,16.7,15.0,6.6,1.3,1759,1638
1782839813808,35.3,44.3,35.1,14.9,50.0,1759,1638
1782839814809,18.4,33.3,11.2,14.3,15.4,1759,1638
1782839815810,29.6,57.6,25.0,6.2,31.7,1759,1638
1782839816811,39.2,80.0,47.6,2.1,21.0,1762,1635
1782839817811,12.1,28.4,11.6,4.2,5.6,1770,1627
1782839818812,30.1,58.9,28.9,3.1,29.2,1770,1627
1782839819813,32.1,51.6,38.0,3.1,40.2,1770,1627
1782839820814,36.8,70.0,48.2,1.0,29.9,1770,1627
1782839821889,21.8,43.8,25.6,1.0,15.9,1786,1612
1782839822889,21.6,31.8,5.3,34.7,13.2,1786,1612
1782839824004,20.9,43.0,28.4,1.8,11.9,1786,1612
1782839825005,13.3,15.6,26.3,3.0,6.8,1786,1611
1782839826005,35.7,18.5,58.1,22.3,43.4,1786,1611
1782839827006,34.0,52.9,36.4,23.7,21.0,1793,1604
1782839828006,35.3,42.2,72.6,3.0,21.9,1795,1602
1782839829031,10.7,14.9,16.4,13.8,1.0,1826,1571
1782839830032,25.4,19.5,12.9,52.7,13.7,1826,1571
1782839831033,27.4,7.4,55.3,22.5,22.4,1826,1571
1782839832034,21.9,27.0,42.3,1.0,16.5,1772,1625
1782839833034,0.5,1.0,0.0,1.0,0.0,1772,1625
1782839834220,0.4,0.9,0.0,0.0,0.0,1772,1625
1782839835220,1.6,2.3,2.1,1.0,2.1,1788,1610
1782839836222,49.7,22.7,65.0,74.7,28.3,1799,1598
1782839837223,44.1,39.2,1.1,97.9,32.8,1807,1590
1782839838224,47.5,56.4,0.0,97.9,32.1,1964,1433
1782839839226,47.8,49.3,27.8,97.5,19.0,2094,1303
1782839840227,37.0,27.0,46.2,84.6,12.9,2125,1272
1782839841227,55.2,4.1,81.5,98.9,30.0,2125,1272
1782839842229,50.8,2.0,65.7,97.6,46.5,2125,1272
1782839843230,49.7,2.1,60.0,98.8,40.0,2125,1272
1782839844231,54.7,3.0,75.3,98.9,43.5,2157,1240
1782839845232,55.6,1.0,84.8,97.8,34.2,2180,1217
1782839846234,53.7,4.0,76.0,97.7,40.0,2182,1215
1782839847234,51.2,2.1,63.6,97.6,54.5,2182,1215
1782839848236,55.3,3.1,82.3,97.8,36.6,2190,1207
1782839849239,51.5,10.6,68.2,96.1,39.3,2217,1180
1782839850240,46.1,8.1,35.7,89.0,54.4,2230,1167
1782839851243,56.0,2.0,61.2,98.8,78.5,2230,1167
1782839852244,56.1,3.1,47.6,97.6,84.5,2234,1163
1782839853244,54.8,2.0,54.5,97.7,76.6,2236,1161
1782839854246,56.1,3.1,55.3,97.7,79.7,2251,1146
1782839855248,55.2,1.0,62.3,98.8,74.2,2259,1138
1782839856362,49.2,7.0,46.6,97.6,56.0,2259,1138
1782839857363,17.3,6.8,29.2,42.6,1.1,2259,1138
1782839858363,54.6,2.0,80.8,97.8,32.5,2259,1138
1782839859366,53.8,2.0,71.8,98.9,51.1,2259,1138
1782839860786,26.5,1.4,35.0,52.5,20.2,2169,1228
1782839861987,0.4,0.0,0.0,2.9,0.0,2167,1230
1782839863009,0.8,1.0,1.0,3.5,0.0,2165,1233
1782839864147,1.2,1.8,0.0,3.2,0.0,2167,1231
